"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\authentication_button.dart", "Dart", -3, -1, -1, -5
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\progress-tracker.dart", "Dart", -5, 0, 0, -5
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\recent-workouts-header.dart", "Dart", -1, 0, 0, -1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\user-training-routines.dart", "Dart", -1, 0, 0, -1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\workout-count.dart", "Dart", -2, 0, 0, -2
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\model\training-session.dart", "Dart", -1, -1, -1, -3
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\navi-bar\navigation_bottom-bar.dart", "Dart", -1, 0, 0, -1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\settings\settings-page.dart", "Dart", -1, 0, 0, -1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\dismissible-routine-form.dart", "Dart", -1, 0, -1, -2
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\exercise-controllers.dart", "Dart", 67, 0, 11, 78
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\training-session-creator-page.dart", "Dart", -3, 0, 0, -3
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\exercise-card-builder.dart", "Dart", 111, 0, 9, 120
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\exercise-set-row.dart", "Dart", 119, 0, 8, 127
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\finish-workout-button.dart", "Dart", -2, 0, -1, -3
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\routine-exercises-displayer.dart", "Dart", -209, 0, -14, -223
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\timer-display-widget.dart", "Dart", 1, 0, 0, 1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-details\training-session-detail-page.dart", "Dart", -3, 0, -1, -4
"Total", "-", 65, -2, 9, 72
