Date : 2023-12-13 23:44:30
Directory : c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib
Total : 97 files,  5487 codes, 59 comments, 614 blanks, all 6160 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         97 |      5,487 |         59 |        614 |      6,160 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |         97 |      5,487 |         59 |        614 |      6,160 |
| . (Files)                                                                                                                                                         |          1 |         33 |          0 |          4 |         37 |
| config                                                                                                                                                            |          1 |         10 |          0 |          3 |         13 |
| data                                                                                                                                                              |         18 |        529 |          1 |        111 |        641 |
| data\bloc                                                                                                                                                         |         10 |        201 |          0 |         63 |        264 |
| data\bloc (Files)                                                                                                                                                 |          1 |         27 |          0 |          6 |         33 |
| data\bloc\training_log                                                                                                                                            |          3 |         48 |          0 |         16 |         64 |
| data\bloc\training_routine                                                                                                                                        |          3 |         58 |          0 |         22 |         80 |
| data\bloc\training_session                                                                                                                                        |          3 |         68 |          0 |         19 |         87 |
| data\models                                                                                                                                                       |          4 |         92 |          1 |         11 |        104 |
| data\services                                                                                                                                                     |          4 |        236 |          0 |         37 |        273 |
| token                                                                                                                                                             |          2 |         26 |          0 |          8 |         34 |
| ui                                                                                                                                                                |         72 |      4,837 |         57 |        476 |      5,370 |
| ui\auth                                                                                                                                                           |         11 |        562 |          0 |         56 |        618 |
| ui\auth (Files)                                                                                                                                                   |          2 |        176 |          0 |         17 |        193 |
| ui\auth\widgets                                                                                                                                                   |          9 |        386 |          0 |         39 |        425 |
| ui\main_dashboard                                                                                                                                                 |          8 |        751 |          1 |         83 |        835 |
| ui\main_dashboard (Files)                                                                                                                                         |          1 |        111 |          0 |         13 |        124 |
| ui\main_dashboard\widgets                                                                                                                                         |          7 |        640 |          1 |         70 |        711 |
| ui\navi_bar                                                                                                                                                       |          1 |        111 |          0 |         13 |        124 |
| ui\progres_tracker                                                                                                                                                |          4 |        180 |         55 |         32 |        267 |
| ui\progres_tracker (Files)                                                                                                                                        |          1 |          0 |         48 |          5 |         53 |
| ui\progres_tracker\widgets                                                                                                                                        |          3 |        180 |          7 |         27 |        214 |
| ui\settings                                                                                                                                                       |         22 |        932 |          0 |         69 |      1,001 |
| ui\settings (Files)                                                                                                                                               |          1 |         55 |          0 |          6 |         61 |
| ui\settings\sub_menu                                                                                                                                              |         17 |        723 |          0 |         49 |        772 |
| ui\settings\sub_menu\account_menu                                                                                                                                 |         11 |        369 |          0 |         28 |        397 |
| ui\settings\sub_menu\account_menu (Files)                                                                                                                         |          1 |         44 |          0 |          2 |         46 |
| ui\settings\sub_menu\account_menu\screens                                                                                                                         |         10 |        325 |          0 |         26 |        351 |
| ui\settings\sub_menu\account_menu\screens (Files)                                                                                                                 |          3 |        112 |          0 |          6 |        118 |
| ui\settings\sub_menu\account_menu\screens\profile_menu                                                                                                            |          7 |        213 |          0 |         20 |        233 |
| ui\settings\sub_menu\account_menu\screens\profile_menu (Files)                                                                                                    |          1 |         53 |          0 |          3 |         56 |
| ui\settings\sub_menu\account_menu\screens\profile_menu\screens                                                                                                    |          5 |        134 |          0 |         13 |        147 |
| ui\settings\sub_menu\account_menu\screens\profile_menu\widgets                                                                                                    |          1 |         26 |          0 |          4 |         30 |
| ui\settings\sub_menu\settings_menu                                                                                                                                |          6 |        354 |          0 |         21 |        375 |
| ui\settings\sub_menu\settings_menu (Files)                                                                                                                        |          1 |         51 |          0 |          2 |         53 |
| ui\settings\sub_menu\settings_menu\screens                                                                                                                        |          5 |        303 |          0 |         19 |        322 |
| ui\settings\widgets                                                                                                                                               |          4 |        154 |          0 |         14 |        168 |
| ui\training-routine                                                                                                                                               |         11 |      1,180 |          0 |        106 |      1,286 |
| ui\training-routine (Files)                                                                                                                                       |          1 |         78 |          0 |          4 |         82 |
| ui\training-routine\training_routine_creator                                                                                                                      |          6 |        755 |          0 |         76 |        831 |
| ui\training-routine\training_routine_creator (Files)                                                                                                              |          1 |         74 |          0 |          7 |         81 |
| ui\training-routine\training_routine_creator\widgets                                                                                                              |          5 |        681 |          0 |         69 |        750 |
| ui\training-routine\widgets                                                                                                                                       |          4 |        347 |          0 |         26 |        373 |
| ui\training_session                                                                                                                                               |         14 |      1,112 |          1 |        115 |      1,228 |
| ui\training_session\training_session_creator                                                                                                                      |         10 |        844 |          1 |         86 |        931 |
| ui\training_session\training_session_creator (Files)                                                                                                              |          2 |        173 |          1 |         25 |        199 |
| ui\training_session\training_session_creator\widgets                                                                                                              |          8 |        671 |          0 |         61 |        732 |
| ui\training_session\training_session_details                                                                                                                      |          4 |        268 |          0 |         29 |        297 |
| ui\training_session\training_session_details (Files)                                                                                                              |          1 |         84 |          0 |          7 |         91 |
| ui\training_session\training_session_details\widgets                                                                                                              |          3 |        184 |          0 |         22 |        206 |
| ui\user_profile                                                                                                                                                   |          1 |          9 |          0 |          2 |         11 |
| utills                                                                                                                                                            |          3 |         52 |          1 |         12 |         65 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\config\get_it_config.dart                                                                | Dart     |         10 |          0 |          3 |         13 |
