Date : 2024-06-25 00:17:05
Directory : c:\Users\kryst\Projects\gym_tracker_flutter\lib
Total : 212 files,  1076 codes, 90 comments, 111 blanks, all 1277 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        212 |      1,076 |         90 |        111 |      1,277 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        212 |      1,076 |         90 |        111 |      1,277 |
| . (Files)                                                                                                                                                         |          1 |         33 |          0 |          4 |         37 |
| ..                                                                                                                                                                |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..                                                                                                                                                             |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..                                                                                                                                                          |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..\IdeaProjects                                                                                                                                             |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp                                                                                                                        |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter                                                                                                    |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib                                                                                                |         97 |     -5,487 |        -59 |       -614 |     -6,160 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib (Files)                                                                                        |          1 |        -33 |          0 |         -4 |        -37 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\config                                                                                         |          1 |        -10 |          0 |         -3 |        -13 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data                                                                                           |         18 |       -529 |         -1 |       -111 |       -641 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc                                                                                      |         10 |       -201 |          0 |        -63 |       -264 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc (Files)                                                                              |          1 |        -27 |          0 |         -6 |        -33 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_log                                                                         |          3 |        -48 |          0 |        -16 |        -64 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_routine                                                                     |          3 |        -58 |          0 |        -22 |        -80 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_session                                                                     |          3 |        -68 |          0 |        -19 |        -87 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\models                                                                                    |          4 |        -92 |         -1 |        -11 |       -104 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\services                                                                                  |          4 |       -236 |          0 |        -37 |       -273 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\token                                                                                          |          2 |        -26 |          0 |         -8 |        -34 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui                                                                                             |         72 |     -4,837 |        -57 |       -476 |     -5,370 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\auth                                                                                        |         11 |       -562 |          0 |        -56 |       -618 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\auth (Files)                                                                                |          2 |       -176 |          0 |        -17 |       -193 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\auth\widgets                                                                                |          9 |       -386 |          0 |        -39 |       -425 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\main_dashboard                                                                              |          8 |       -751 |         -1 |        -83 |       -835 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\main_dashboard (Files)                                                                      |          1 |       -111 |          0 |        -13 |       -124 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\main_dashboard\widgets                                                                      |          7 |       -640 |         -1 |        -70 |       -711 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\navi_bar                                                                                    |          1 |       -111 |          0 |        -13 |       -124 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\progres_tracker                                                                             |          4 |       -180 |        -55 |        -32 |       -267 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\progres_tracker (Files)                                                                     |          1 |          0 |        -48 |         -5 |        -53 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\progres_tracker\widgets                                                                     |          3 |       -180 |         -7 |        -27 |       -214 |
| ..\..\..\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\settings                                                                                    |         22 |       -932 |          0 |        -69 |     -1,001 |
