"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\configs\api_endpoints.dart", "Dart", 10, 1, 2, 13
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\configs\injection.config.dart", "Dart", 66, 8, 7, 81
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\configs\injection.dart", "Dart", 81, 0, 9, 90
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\constants\global_variables.dart", "Dart", 17, 0, 4, 21
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\constants\no_parameters.dart", "Dart", 1, 0, 1, 2
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\constants\page_route_animator.dart", "Dart", 18, 0, 3, 21
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\constants\time_provider.dart", "Dart", 22, 0, 6, 28
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\constants\use_case.dart", "Dart", 5, 0, 2, 7
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\token\token_receiver.dart", "Dart", 12, 0, 2, 14
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\core\token\token_storage.dart", "Dart", 14, 0, 6, 20
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\authorization\auth_bloc.dart", "Dart", 65, 0, 9, 74
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\authorization\auth_event.dart", "Dart", 17, 0, 6, 23
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\authorization\auth_state.dart", "Dart", 8, 0, 6, 14
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_log\training_log_bloc.dart", "Dart", 57, 0, 6, 63
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_log\training_log_event.dart", "Dart", 9, 0, 5, 14
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_log\training_log_state.dart", "Dart", 8, 0, 6, 14
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_bloc.dart", "Dart", 80, 0, 9, 89
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_event.dart", "Dart", 10, 0, 6, 16
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_state.dart", "Dart", 10, 0, 8, 18
